char,dialog,i,a,g,r,d,o,l,h,c
GANDALF,"['good', 'see', 'one', 'hundr', 'eleven', 'year', 'old', 'would', 'believ', 'age', 'day']",,,,,,,,,
ARAGORN,"['f', 'ste', 'still', 'n', 'f', 'ste', 'still', 'n', 'lac', 'drefe', 'gefr', 'gon']",,,,,,,,,
GRIMA,"['threewho', 'follow', 'wizard', 'elf', 'dwarf', 'man']",,,,,,,,,
GOLLUM,"['rock', 'pool', 'nice', 'cool', 'juici', 'sweet', 'wish', 'catch', 'fish', 'juici', 'sweet']",,,,,,,,,
GANDALF,"['star', 'wheel', 'overhead', 'everi', 'day', 'longa', 'life', 'age', 'earth', 'end', 'felt', 'life']",,,,,,,,,
DENETHOR,"['theoden', 'betray', 'abandon', 'post', 'flee', 'flee', 'live']",,,,,,,,,
PIPPIN,"['merri', 'treebeard', 'said', 'youshouldn']",,,,,,,,,
ORC,"['catapult', 'ha', 'ha', 'ha']",,,,,,,,,
WHITE WIZARD,"['track', 'footstepsof', 'two', 'young', 'hobbit']",,,,,,,,,
GOLLUM,"['murder', 'call', 'us', 'curs', 'us', 'drove', 'us', 'away']",,,,,,,,,
GOLLUM,"['go', 'away']",,,,,,,,,
SAURON,"['rout', 'author', 'treat']",,,,,,,,,
EOWYN,"['take', 'heart', 'merri', 'soon']",,,,,,,,,
SAM,"['mr', 'frodo']",,,,,,,,,
GANDALF,"['gandalf', 'yes', 'use', 'call', 'gandalf', 'grey', 'name']",,,,,,,,,
GOLLUM,['anymor'],,,,,,,,,
EOMER,"['scout', 'report', 'mina', 'tirith', 'surround', 'lower', 'level', 'flame', 'everywher', 'legion', 'enemi', 'advanc']",,,,,,,,,
ARAGORN,"['ten', 'thousand', 'strong', 'least']",,,,,,,,,
SAM,"['stand', 'mr', 'frodo', 'stand']",,,,,,,,,
LEGOLAS,"['road', 'dimholt', 'door', 'mountain']",,,,,,,,,
FRODO,"['hold', 'sam']",,,,,,,,,
STRIDER,"['dartho', 'guin', 'perian', 'rych', 'le', 'ad', 'tolthathon']",,,,,,,,,
GIMLI,"['last', 'one', 'stand', 'win', 'heh', 'heh', 'heh']",,,,,,,,,
FARAMIR,"['ls', 'name']",,,,,,,,,
FRODO,['heavi'],,,,,,,,,
EOWYN,"['grow', 'cold']",,,,,,,,,
GOLLUM,['follow'],,,,,,,,,
GOLLUM,"['orcs', 'filth', 'orcs', 'come', 'sometim']",,,,,,,,,
ARAGORN,"['togo', 'hon', 'dad', 'legola']",,,,,,,,,
GANDALF,"['follow', 'us', 'three', 'day']",,,,,,,,,
MERRY,[],,,,,,,,,
DENETHOR,"['line', 'end']",,,,,,,,,
GRISHNAKH,"['aliv', 'aliv', 'give', 'good', 'sport']",,,,,,,,,
FRODO,"['sam', 'still', 'shire', 'could', 'possibl', 'happen']",,,,,,,,,
ROHAN HORSEMAN,"['lord', 'eomer']",,,,,,,,,
TREEBEARD,"['told', 'name', 'entmoot', 'agre', 'orc']",,,,,,,,,
ARAGORN,"['armi', 'bred', 'singl', 'purpos', 'destroy', 'world', 'men', 'nightfal']",,,,,,,,,
ARAGORN,"['enter', 'gondor']",,,,,,,,,
SAM,"['mr', 'frodo']",,,,,,,,,
SAM,[],,,,,,,,,
GOLLUM,"['come', 'master']",,,,,,,,,
EOMER,['sorri'],,,,,,,,,
ARAGORN,"['cannot', 'give']",,,,,,,,,
LEGOLAS,['aragorn'],,,,,,,,,
GOLLUM,['deagol'],,,,,,,,,
GRIMA,"['ever', 'serv', 'lord']",,,,,,,,,
GANDALF,"['battl', 'helm', 'deep', 'battl', 'middl', 'earth', 'begin']",,,,,,,,,
PIPPIN,"['give', 'back', 'merri']",,,,,,,,,
GOLLUM,['deagol'],,,,,,,,,
SAM,"['noth', 'clear', 'someth']",,,,,,,,,
PIPPIN,['done'],,,,,,,,,
PIPPIN,"['perfect', 'one', 'barrel', 'wait', 'think', 'share', 'treebeard']",,,,,,,,,
FRODO,"['ah', 'aah', 'sticki']",,,,,,,,,
FRODO,"['swore', 'swore', 'precious']",,,,,,,,,
MERRY,"['saruman', 'storeroom']",,,,,,,,,
GALADRIEL,"['frodo', 'baggin', 'give', 'light', 'e', 'rendil', 'belov', 'star', 'may', 'light', 'dark', 'place', 'light', 'go']",,,,,,,,,
GOLLUM,"['go', 'away']",,,,,,,,,
FRODO,"['go', 'circl']",,,,,,,,,
GORBAG,"['hand', 'shini', 'shirt', 'mine']",,,,,,,,,
GRIMA,"['lay', 'troubleson', 'alreadi', 'troubl', 'mind', 'see', 'uncl', 'weariedbi', 'malcont', 'warmong']",,,,,,,,,
GANDALF,"['bilbo', 'shirt', 'mithril', 'ring', 'thorin', 'gave']",,,,,,,,,
ARAGORN,"['lsengard', 'empti']",,,,,,,,,
WILDMAN,['murder'],,,,,,,,,
URUK HAI,"['man', 'flesh']",,,,,,,,,
PIPPIN,"['shire', 'hold', 'hold', 'merri']",,,,,,,,,
EOMER,"['form', 'move', 'form', 'move']",,,,,,,,,
ARAGORN,"['hurri', 'insid', 'get', 'insid']",,,,,,,,,
BILBO,"['sackvill', 'baggins', 'quick', 'hide']",,,,,,,,,
BILBO,"['gandalf', 'old', 'friend', 'night', 'rememb']",,,,,,,,,
GOLLUM,"['came', 'love', 'precious']",,,,,,,,,
THEODEN,['come'],,,,,,,,,
MERRY,['want'],,,,,,,,,
GIMLI,"['air', 'close']",,,,,,,,,
TREEBEARD,"['busi', 'orc', 'busi', 'lsengard', 'tonight', 'rock', 'stone']",,,,,,,,,
THEODEN,"['gate', 'draw', 'sword']",,,,,,,,,
DAMROD,"['nazg', 'l']",,,,,,,,,
GIMLI,['stop'],,,,,,,,,
PIPPIN,['go'],,,,,,,,,
PIPPIN,"['got', 'arm', 'argh', 'got', 'arm']",,,,,,,,,
EOMER,"['alon', 'rohirrim']",,,,,,,,,
EOMER,"['left', 'none', 'aliv', 'pile', 'carcass', 'burn']",,,,,,,,,
GRIMA,"['question', 'lieg', 'late', 'hour', 'conjur', 'choos', 'appear', 'lathspel', 'name', 'ill', 'news', 'ill', 'guest']",,,,,,,,,
GOLLUM,[],,,,,,,,,
SAM,"['look', 'frodo', 'mr', 'bilbo', 'troll']",,,,,,,,,
MERRY,['gone'],,,,,,,,,
GAFFER,"['strang', 'folk', 'cross', 'shire', 'dwarv', 'other', 'less', 'savouri', 'natur']",,,,,,,,,
SAM,"['come', 'frodo', 'come']",,,,,,,,,
PIPPIN,"['sit', 'field', 'victori', 'enjoy', 'well', 'earn', 'comfort', 'salt', 'pork', 'particular', 'good']",,,,,,,,,
URUK HAI,"['take', 'draught']",,,,,,,,,
SAM,"['gone', 'much', 'must', 'get', 'late']",,,,,,,,,
PIPPIN,"['loveliest', 'dream', 'last', 'night', 'larg', 'barrelful', 'pipe', 'weed', 'smoke', 'sick', 'give', 'anyth', 'whiff', 'old', 'tobi']",,,,,,,,,
SOLDIERS ON GATE,"['come', 'come']",,,,,,,,,
MERRY,"['still', 'suppos', 'view', 'would', 'quit', 'nice']",,,,,,,,,
FARAMIR,['steal'],,,,,,,,,
PIPPIN,"['go', 'die']",,,,,,,,,
GANDALF,"['farewel', 'brave', 'hobbit', 'work', 'finish', 'last', 'shore', 'sea', 'come', 'end', 'fellowship', 'say', 'weep', 'tear', 'evil', 'time', 'frodo']",,,,,,,,,
SHAGRAT,"['stop', 'squeal', 'dunghil', 'rat']",,,,,,,,,
GIMLI,"['heh', 'heh', 'heh', 'say', 'hold', 'liquor']",,,,,,,,,
NOAKES,"['war', 'brew', 'mountain', 'fair', 'teem', 'goblin']",,,,,,,,,
GANDALF,"['hmmm', 'would', 'part', 'old', 'man', 'walk', 'stick']",,,,,,,,,
GIMLI,"['edora', 'short', 'distanc']",,,,,,,,,
FRODO,[],,,,,,,,,
GANDALF,[],,,,,,,,,
FRODO,['strider'],,,,,,,,,
UGLUK,"['take', 'order', 'orc', 'maggot', 'saruman', 'prize', 'deliv']",,,,,,,,,
FRODO,['say'],,,,,,,,,
ARAGORN,"['must', 'warn']",,,,,,,,,
ELROND,"['dwell', 'mountain']",,,,,,,,,
FARAMIR,[],,,,,,,,,
PIPPIN,['argh'],,,,,,,,,
GIMLI,"['right', 'nobodi', 'panic', 'deliber', 'deliber']",,,,,,,,,
GIMLI,"['ti', 'realli']",,,,,,,,,
MERRY,"['someth', 'road']",,,,,,,,,
GANDALF,"['hope', 'kindl']",,,,,,,,,
THEODEN,"['happi', 'honour', 'man']",,,,,,,,,
PROUDFOOT HOBBIT,['proudfeet'],,,,,,,,,
TREEBEARD,"['south', 'lead', 'past', 'lsengard']",,,,,,,,,
ELROND,"['answer', 'king', 'gondor', 'ril', 'flame', 'west', 'forg', 'shard', 'narsil']",,,,,,,,,
DENETHOR,"['perhap', 'come', 'tell', 'son', 'dead']",,,,,,,,,
MERRY,['taller'],,,,,,,,,
SARUMAN,"['gibbet', 'crow', 'dotard', 'want', 'gandalf', 'graham', 'let', 'guess', 'key', 'orthanc', 'perhap', 'key', 'barad', 'r', 'along', 'crown', 'seven', 'king', 'rod', 'five', 'wizard']",,,,,,,,,
SAM,"['mr', 'frodo', 'someth', 'eat']",,,,,,,,,
ARWEN,['lost'],,,,,,,,,
WITCH KING,['slay'],,,,,,,,,
THEODEN,"['brace', 'gate']",,,,,,,,,
GIMLI,"['young', 'rascal', 'merri', 'hunt', 'led', 'us', 'find', 'feast', 'smoke']",,,,,,,,,
SOLDIER,"['make', 'way']",,,,,,,,,
ARAGORN,[],,,,,,,,,
MERRY,"['hasti', 'friend', 'need', 'help', 'cannot', 'fight', 'war']",,,,,,,,,
FRODO,['go'],,,,,,,,,
EOMER,['king'],,,,,,,,,
DEAGOL,[],,,,,,,,,
GOLLUM,"['birds', 'eat', 'crunchabl', 'birds', 'famish', 'yes', 'famish', 'precious']",,,,,,,,,
GALADRIEL,"['amar', 'prestar', 'aen', 'han', 'mathon', 'ne', 'nen', 'han', 'mathon', 'ne', 'chae', 'han', 'noston', 'ned', 'wilith']",,,,,,,,,
HAMA,"['burden', 'treasur', 'take', 'provis', 'need']",,,,,,,,,
MERRY,"['readi', 'sorri', 'danger', 'even', 'sharp']",,,,,,,,,
GOLLUM,"['come', 'hobbits', 'close', 'close', 'mordor', 'safe', 'place', 'hurri']",,,,,,,,,
UGLUK,"['let', 'move']",,,,,,,,,
PIPPIN,"['well', 'bad']",,,,,,,,,
GANDALF,['bring'],,,,,,,,,
ARAGORN,"['king', 'theoden', 'good', 'memori', 'small', 'child', 'time']",,,,,,,,,
EOWYN,['merri'],,,,,,,,,
SAURON,"['isildur', 'heir', 'take', 'make', 'king', 'broken', 'elvish', 'blade']",,,,,,,,,
GOLLUM,"['anoth', 'way', 'secret', 'dark', 'way']",,,,,,,,,
FRODO,"['ring', 'treacher', 'hold', 'word']",,,,,,,,,
BILBO,"['know', 'probabl', 'come', 'ask', 'think', 'heart', 'frodo', 'still', 'love', 'shire', 'wood', 'field', 'littl', 'river', 'old', 'gandalf', 'know', 'look', 'begin', 'feel', 'heart', 'feel', 'thin', 'sort', 'stretch', 'like', 'butter', 'scrape', 'much', 'bread', 'need', 'holiday', 'long', 'holiday', 'expect', 'shall', 'return', 'fact', 'mean']",,,,,,,,,
GOLLUM,"['master', 'betray', 'us']",,,,,,,,,
SARUMAN,"['night', 'land', 'stainedwith', 'blood', 'rohan', 'march', 'helm', 'deep', 'leav', 'none', 'aliv']",,,,,,,,,
GRIMA,"['oh', 'alon', 'know', 'spoken', 'dark', 'bitter', 'watch', 'night', 'life', 'seem', 'shrink', 'wall', 'bower', 'close', 'hutch', 'trammel', 'wild', 'thing', 'fair', 'cold', 'like', 'morn', 'pale', 'spring', 'still', 'cling', 'winter', 'chill']",,,,,,,,,
LEGOLAS,"['govanna', 'v', 'n', 'gwennen', 'le', 'haldir', 'l', 'rien']",,,,,,,,,
BILBO,['gone'],,,,,,,,,
SOLDIER,"['lower', 'level', 'quick']",,,,,,,,,
LEGOLAS,"['forti', 'three']",,,,,,,,,
THEODEN,"['form', 'line', 'form', 'line']",,,,,,,,,
THEODEN,"['gim', 'aragorn', 'get']",,,,,,,,,
GANDALF,[],,,,,,,,,
FRODO,"['food', 'got', 'left']",,,,,,,,,
GIMLI,"['twitch', 'got', 'axe', 'embed', 'nervous', 'system']",,,,,,,,,
GIMLI,"['strong', 'oh', 'good']",,,,,,,,,
THEODEN,"['yes', 'yes', 'horn', 'helm', 'hammerhand', 'shall', 'sound', 'deep', 'one', 'last', 'time']",,,,,,,,,
EOWYN,"['lord', 'son', 'dead', 'lord', 'uncl', 'go', 'noth']",,,,,,,,,
PIPPIN,['gandalf'],,,,,,,,,
SAM,"['mr', 'frodo', 'ring']",,,,,,,,,
FRODO,['sam'],,,,,,,,,
THEODEN,"['dark', 'dream', 'late']",,,,,,,,,
SAM,"['back', 'hobbit', 'tale', 'bilbo', 'baggin', 'lord', 'ring', 'frodo', 'baggin', 'finish']",,,,,,,,,
PIPPIN,"['frodo', 'merri', 'frodo', 'baggin']",,,,,,,,,
GANDALF,"['come', 'saruman', 'life', 'spare']",,,,,,,,,
PIPPIN,"['yes', 'exact', 'go', 'south', 'slip', 'past', 'saruman', 'unnot', 'closer', 'danger', 'farther', 'harm', 'last', 'thing', 'expect']",,,,,,,,,
SARUMAN,['work'],,,,,,,,,
BOROMIR,['legola'],,,,,,,,,
GIMLI,[],,,,,,,,,
STRIDER,"['keep', 'close', 'go', 'look', 'round', 'stay']",,,,,,,,,
ARAGORN,['end'],,,,,,,,,
HALDIR,['aragorn'],,,,,,,,,
GANDALF,"['never', 'much', 'hope', 'fool', 'hope', 'enemi', 'readi', 'full', 'strength', 'gather', 'orc', 'men', 'well', 'legion', 'haradrim', 'south', 'mercenari', 'coast', 'answer', 'mordor', 'call']",,,,,,,,,
FRODO,"['think', 'land', 'part', 'kingdom', 'gondor']",,,,,,,,,
GALADRIEL,"['mountain', 'defeat', 'risk', 'danger', 'road']",,,,,,,,,
THEODEN,"['let', 'come']",,,,,,,,,
GANDALF,"['volley', 'fire']",,,,,,,,,
URUK HAI,['want'],,,,,,,,,
EOWYN,"['kill', 'touch']",,,,,,,,,
HOBBIT,"['hey', 'watch', 'pumpkin']",,,,,,,,,
WITCH KING,"['come', 'nazg', 'l', 'prey']",,,,,,,,,
GOTHMOG,['fire'],,,,,,,,,
MERRY,"['excus', 'sword', 'pleas', 'accept', 'offer', 'servic', 'theoden', 'king']",,,,,,,,,
MERRY,"['never', 'done', 'hard', 'day', 'work']",,,,,,,,,
PIPPIN,['lt'],,,,,,,,,
GANDALF,['hobbit'],,,,,,,,,
FRODO,"['sting', 'seen', 'gollum', 'releas', 'cut', 'throat']",,,,,,,,,
SAM,[],,,,,,,,,
DENETHOR,"['perhap', 'come', 'explain']",,,,,,,,,
GANDALF,"['must', 'trust', 'trust', 'strength']",,,,,,,,,
SAM,"['mordor', 'one', 'place', 'middl', 'earthw', 'want', 'see', 'closer', 'one', 'placew', 'tri', 'get', 'get', 'let', 'face', 'mr', 'frodo', 'lost', 'think', 'gandalf', 'meant', 'us', 'tocom', 'way']",,,,,,,,,
THEODEN,['death'],,,,,,,,,
SAM,"['mr', 'frodo']",,,,,,,,,
GOLLUM,"['hate', 'hate']",,,,,,,,,
ARWEN,"['still', 'hope']",,,,,,,,,
ORC,"['come', 'faster']",,,,,,,,,
BILBO,"['oh', 'piti', 'sigh', 'would', 'like', 'held', 'one', 'last', 'time']",,,,,,,,,
GANDALF,[],,,,,,,,,
DENETHOR,"['oh', 'let', 'enemi', 'walk', 'take', 'whim', 'alway', 'cast', 'poor', 'reflect']",,,,,,,,,
MERRY,"['good', 'luck', 'tri', 'find', 'someth', 'decent', 'around', 'probabl', 'dead', 'rat', 'mouldi', 'bread']",,,,,,,,,
ARAGORN,"['son', 'gondor', 'rohan', 'brother', 'listen', 'see', 'eye', 'fear', 'would', 'take', 'heart', 'day', 'may', 'come', 'courag', 'men', 'fail', 'forsak', 'friend', 'break', 'bond', 'fellowship', 'day', 'hour', 'wolv', 'shatter', 'shield', 'age', 'men', 'come', 'crash', 'day', 'day', 'fight']",,,,,,,,,
GOLLUM,"['nice', 'themif', 'nice', 'us', 'take', 'us', 'swear', 'want', 'swear']",,,,,,,,,
SAM,"['wait', 'innoc', 'travel']",,,,,,,,,
GOLLUM,"['lead', 'wind', 'stair']",,,,,,,,,
SAM,"['think', 'return', 'journey', 'mr', 'frodo']",,,,,,,,,
FRODO,"['destroy', 'smeagol', 'destroy', 'sake']",,,,,,,,,
SOLDIER,"['hold', 'hold']",,,,,,,,,
FARAMIR,"['mithrandir', 'broke', 'defenc', 'taken', 'bridg', 'west', 'bank', 'battalion', 'orc', 'cross', 'river']",,,,,,,,,
BOROMIR,"['good', 'good']",,,,,,,,,
ARAGORN,"['come', 'destroy', 'rohan', 'crop', 'villag', 'come', 'destroy', 'peopl', 'last', 'child']",,,,,,,,,
SAM,"['mr', 'frodo', 'made', 'mordor']",,,,,,,,,
SARUMAN,"['hobbit', 'live', 'farm', 'four', 'farth', 'shire', 'mani', 'hundr', 'year', 'quit', 'content', 'ignor', 'ignor', 'world', 'big', 'folk', 'middl', 'earth', 'full', 'strang', 'creatur', 'beyond', 'count', 'hobbit', 'must', 'seem', 'littl', 'import', 'neither', 'renown', 'great', 'warrior', 'count', 'amongst', 'wise']",,,,,,,,,
THEODEN,"['grima', 'come', 'free']",,,,,,,,,
ARWEN,"['hold', 'would', 'rather', 'share', 'one', 'lifetim', 'face', 'age', 'world', 'alon']",,,,,,,,,
MADRIL,"['scout', 'report', 'saruman', 'attack', 'rohan', 'theoden', 'peopl', 'fled', 'helm', 'deep', 'must', 'look', 'border', 'faramir', 'orc', 'move', 'sauron', 'marshal', 'armi', 'easterl', 'southron', 'black', 'gate']",,,,,,,,,
PIPPIN,"['mayb', 'treebeard', 'right', 'belong', 'merri', 'big', 'us', 'end', 'got', 'shire', 'mayb', 'go', 'home']",,,,,,,,,
FRODO,[],,,,,,,,,
GANDALF,"['kill', 'kill']",,,,,,,,,
PIPPIN,"['think', 'would', 'end', 'way']",,,,,,,,,
FRODO,['stop'],,,,,,,,,
GANDALF,"['need', 'aliv', 'need', 'talk']",,,,,,,,,
SAM,"['want', 'know', 'happen', 'boromir', 'want', 'know', 'brother', 'die', 'tri', 'take', 'ring', 'frodo', 'swear', 'oath', 'protect', 'tri', 'kill', 'ring', 'drove', 'brother', 'mad']",,,,,,,,,
LEGOLAS,"['forest', 'old', 'old', 'full', 'memori', 'anger']",,,,,,,,,
GOLLUM,['yes'],,,,,,,,,
EOMER,['nooooo'],,,,,,,,,
ARAGORN,"['bedin', 'gurth', 'ne', 'dagor']",,,,,,,,,
MERRY,"['ssh', 'soon', 'find', 'twe', 'dead']",,,,,,,,,
PIPPIN,['hungri'],,,,,,,,,
FRODO,"['never', 'adventur', 'anyth', 'unexpect']",,,,,,,,,
GANDALF,['mine'],,,,,,,,,
DENETHOR,"['troubl', 'faramir', 'know', 'use', 'urgent', 'thing', 'speak', 'elrond', 'rivendel', 'call', 'meet', 'say', 'guess', 'purpos', 'rumor', 'weapon', 'enemi', 'found']",,,,,,,,,
SAM,"['save', 'mr', 'frodo']",,,,,,,,,
ARAGORN,"['time', 'time', 'must', 'stay', 'gim']",,,,,,,,,
EOWYN,"['take', 'rein', 'pull', 'left', 'left']",,,,,,,,,
GOLLUM,"['tast', 'nice', 'precious']",,,,,,,,,
GIMLI,"['well', 'thing', 'unheard', 'elf', 'go', 'underground', 'dwarf', 'dare', 'oh', 'oh', 'never', 'hear', 'end']",,,,,,,,,
DAMROD,"['go', 'come']",,,,,,,,,
BILBO,"['today', 'one', 'hundr', 'eleventh', 'birthday']",,,,,,,,,
GRIMA,['ah'],,,,,,,,,
SAM,"['oh', 'sorri', 'mean', 'go', 'far', 'angri', 'let', 'rest', 'bit']",,,,,,,,,
FARAMIR,['hurri'],,,,,,,,,
GOLLUM,['aaaaaaaaa'],,,,,,,,,
BILBO,"['frodo', 'someon', 'door', 'fact', 'remark', 'hobbit', 'real', 'passion', 'food', 'rather', 'unfair', 'observ', 'also', 'develop', 'keen', 'interest', 'brew', 'ale', 'smoke', 'pipewe', 'heart', 'truli', 'lie', 'peac', 'quiet', 'good', 'till', 'earth', 'hobbit', 'share', 'love', 'thing', 'grow', 'yes', 'doubt', 'other', 'way', 'seem', 'quaint', 'today', 'day', 'brought', 'home', 'bad', 'thing', 'celebr', 'simpl', 'life']",,,,,,,,,
ARAGORN,"['andelu', 'ven']",,,,,,,,,
ARAGORN,['merri'],,,,,,,,,
GANDALF,"['saruman', 'staff', 'broken']",,,,,,,,,
GRISHNAK,"['lateour', 'master', 'grow', 'impati', 'want', 'shire', 'rat']",,,,,,,,,
FRODO,['aragorn'],,,,,,,,,
GOLLUM,[],,,,,,,,,
FRODO,"['came', 'along', 'baggins', 'well', 'thought']",,,,,,,,,
GANDALF,"['foreseen', 'done', 'noth']",,,,,,,,,
THEODEN,"['make', 'hast', 'across', 'riddermark', 'summon', 'everi', 'abl', 'bodi', 'man', 'dunharrow']",,,,,,,,,
MERRY,"['saruman', 'come', 'decis']",,,,,,,,,
MERRY,"['hello', 'frodo']",,,,,,,,,
GANDALF,"['shadowfax', 'lord', 'hors', 'friendthrough', 'mani', 'danger']",,,,,,,,,
DEAGOL,"['oh', 'smeagol', 'ive', 'got', 'one', 'ive', 'got', 'fish', 'smeagol', 'smeagol']",,,,,,,,,
URUK HAI,"['sick', 'give', 'medicin', 'boy']",,,,,,,,,
MERRY,['isengard'],,,,,,,,,
SAM,"['go', 'throw', 'fire']",,,,,,,,,
ARAGORN,['gandalf'],,,,,,,,,
GALADRIEL,"['power', 'three', 'ring', 'end', 'time', 'come', 'dominion', 'men']",,,,,,,,,
MERRY,[],,,,,,,,,
GANDALF,"['refer', 'incid', 'dragon', 'bare', 'involv', 'give', 'uncl', 'littl', 'nudg', 'door']",,,,,,,,,
TREEBEARD,"['alway', 'tri', 'get', 'somewher']",,,,,,,,,
ELROND,"['take', 'safest', 'road', 'ship', 'lie', 'anchor', 'grey', 'haven', 'wait', 'carri', 'across', 'sea', 'last', 'journey', 'arwen', 'und', 'miel']",,,,,,,,,
BILBO,"['22nd', 'day', 'septemb', 'year', '1400', 'shire', 'reckon', 'bag', 'end', 'bagshot', 'row', 'hobbiton', 'west', 'farth', 'shire', 'middl', 'earth', 'third', 'age', 'world']",,,,,,,,,
ARAGORN,"['open', 'war', 'upon', 'whether', 'would', 'risk']",,,,,,,,,
EOMER,"['busi', 'elf', 'manand', 'dwarf', 'riddermark', 'speak', 'quick']",,,,,,,,,
DENETHOR,"['oh', 'see', 'chanc', 'faramir', 'captain', 'gondor', 'show', 'qualiti', 'think', 'trust', 'mission', 'brother', 'one', 'fail']",,,,,,,,,
BOROMIR,"['wish', 'care']",,,,,,,,,
ARAGORN,"['boromir', 'give', 'ring', 'frodo']",,,,,,,,,
GOLLUM,"['yes', 'precious', 'could', 'take', 'dead']",,,,,,,,,
FARAMIR,"['prepar', 'leav', 'ring', 'go', 'gondor']",,,,,,,,,
FARAMIR,"['wish', 'place', 'exchang', 'die', 'boromir', 'live']",,,,,,,,,
EOWYN,['know'],,,,,,,,,
GIMLI,"['fangorn', 'mad', 'drove']",,,,,,,,,
ARWEN,"['also', 'life', 'saw', 'child', 'saw', 'son']",,,,,,,,,
PIPPIN,"['gandalf', 'see']",,,,,,,,,
LEGOLAS,"['hiro', 'hyn', 'h', 'dh', 'ab', 'wanath']",,,,,,,,,
FRODO,"['excus', 'man', 'corner']",,,,,,,,,
LEGOLAS,"['shall', 'describ', 'would', 'like', 'find', 'box']",,,,,,,,,
ARAGORN,"['man', 'cenich']",,,,,,,,,
SAM,"['spi', 'wait', 'minut']",,,,,,,,,
PIPPIN,[],,,,,,,,,
FRODO,"['bilbo', 'told', 'part', 'tale', 'would', 'end', 'us', 'must', 'come', 'go', 'tell', 'bilbo', 'stori', 'would', 'journey', 'save', 'one']",,,,,,,,,
ORC,"['kill', 'anoth', 'one']",,,,,,,,,
FARAMIR,"['one', 'companion', 'hope', 'would', 'tell']",,,,,,,,,
GENERAL SHOUT,"['let', 'drink', 'victori', 'victori']",,,,,,,,,
LEGOLAS,"['uruk', 'turn', 'northeast', 'take', 'hobbit', 'lsengard']",,,,,,,,,
FRODO,['smell'],,,,,,,,,
GOTHMOG,"['move', 'citi', 'kill', 'path']",,,,,,,,,
ORC,['come'],,,,,,,,,
FARAMIR,"['belong', 'young', 'boy', 'citi', 'foolish', 'one', 'wast', 'mani', 'hour', 'slay', 'dragon', 'instead', 'attend', 'studi']",,,,,,,,,
ROSIE,"['good', 'night', 'lad']",,,,,,,,,
FRODO,[],,,,,,,,,
GALADRIEL,"['cannot', 'hide', 'see', 'life', 'void', 'death']",,,,,,,,,
STRIDER,"['rivendel', 'master', 'gamge', 'hous', 'elrond']",,,,,,,,,
PIPPIN,"['white', 'wizard']",,,,,,,,,
SARUMAN,"['togeth', 'lord', 'sauron', 'shall', 'rule', 'middl', 'earth']",,,,,,,,,
GOLLUM,"['stair', 'go', 'come', 'tunnel']",,,,,,,,,
MERRY,"['dunno', 'upset', 'coupl', 'carrot']",,,,,,,,,
GOLLUM,['precious'],,,,,,,,,
GANDALF,"['faramir', 'first', 'halfl', 'cross', 'path']",,,,,,,,,
LEGOLAS,['17'],,,,,,,,,
ARAGORN,['brego'],,,,,,,,,
TREEBEARD,"['beech', 'oak', 'chestnut', 'ash', 'good', 'good', 'good', 'mani', 'come', 'must', 'decid', 'ent', 'go', 'war']",,,,,,,,,
ARWEN,"['choos', 'mortal', 'life']",,,,,,,,,
GIMLI,['hmmmm'],,,,,,,,,
TREEBEARD,"['bru', 'ra', 'hroom', 'hasti', 'might', 'call', 'far', 'perhap', 'home', 'lie', 'deep', 'forest', 'near', 'root', 'mountain', 'told', 'gandalf', 'would', 'keep', 'safe', 'safe', 'keep', 'believ', 'enjoy', 'next', 'one', 'one', 'composit', 'right']",,,,,,,,,
STRIDER,"['littl', 'caution', 'trinket', 'carri']",,,,,,,,,
GOLLUM,"['thiev', 'thiev', 'filthi', 'littl', 'thiev', 'stole', 'us', 'precious', 'curs', 'hate', 'want']",,,,,,,,,
GOLLUM,"['leav', 'never', 'come', 'back']",,,,,,,,,
ARAGORN,['belong'],,,,,,,,,
DENETHOR,"['gondor', 'finest', 'first', 'born']",,,,,,,,,
PIPPIN,['frodo'],,,,,,,,,
FRODO,"['go', 'home']",,,,,,,,,
FARMER MAGGOT,"['hoi', 'get', 'back', 'wait', 'till', 'get', 'get', 'field', 'know', 'devil', 'catch']",,,,,,,,,
THEODEN,['eowyn'],,,,,,,,,
GIMLI,"['wast', 'cross', 'countri', 'dwarv', 'natur', 'sprinter', 'danger', 'short', 'distanc']",,,,,,,,,
SAM,"['mr', 'frodo', 'naught', 'left', 'himbut', 'lie', 'deceit', 'ring', 'want', 'care']",,,,,,,,,
DENETHOR,"['son', 'leav']",,,,,,,,,
SOLDIER,"['boromir', 'boromir']",,,,,,,,,
FRODO,['home'],,,,,,,,,
ARAGORN,"['minl', 'pendich', 'nin', 'aur', 'hen', 'telitha']",,,,,,,,,
TREEBEARD,"['ent', 'cannot', 'hold', 'back', 'storm', 'must', 'weather', 'thing', 'alway', 'done']",,,,,,,,,
MERRY,"['noth', 'world', 'back', 'normal']",,,,,,,,,
DENETHOR,"['steward', 'hous', 'rion', 'thus', 'walk', 'thus', 'sleep']",,,,,,,,,
EOMER,['forward'],,,,,,,,,
ARAGORN,"['leithio', 'philinn']",,,,,,,,,
PIPPIN,"['elvens', 'luncheon', 'afternoon', 'tea', 'dinner', 'supper', 'know', 'doesnt']",,,,,,,,,
ARAGORN,"['tri', 'bring', 'mountain', 'gandalf', 'must', 'turn', 'back']",,,,,,,,,
